pair_id,illumination_stress_level,stress_category,source_solar_incidence_deg,reference_solar_incidence_deg,preprocessing,source_keypoints,reference_keypoints,raw_matches,good_matches,inliers,inlier_ratio_pct,spatial_coverage_pct,rmse_px,median_px,p95_px,independent_validation,physical_scale_ratio_ref_to_source,scale_metadata_consistent,verdict,failure
pair_i1,10deg,illumination,64.5,59.5,2%-98% Percentile Stretch,21416,21487,21416,2579,2553,98.99185730903451,100.0,0.4042,0.2181,0.6916,FAIL,1.0,True,UNCERTAIN,
pair_i1,10deg,illumination,64.5,59.5,1%-99% Percentile Stretch,21332,21382,21332,2617,2591,99.00649598777225,100.0,0.4043,0.2195,0.6937,FAIL,1.0,True,UNCERTAIN,
pair_i1,10deg,illumination,64.5,59.5,2%-98% Stretch + CLAHE,20740,20844,20740,2559,2530,98.86674482219617,100.0,0.4187,0.2131,0.7218,FAIL,1.0,True,UNCERTAIN,
pair_i1,10deg,illumination,64.5,59.5,1%-99% Stretch + CLAHE,20727,20786,20727,2577,2549,98.91346526969345,100.0,0.4101,0.2145,0.7033,FAIL,1.0,True,UNCERTAIN,
pair_i2,30deg,illumination,64.5,49.5,2%-98% Percentile Stretch,21416,21808,21416,24,5,20.833333333333336,33.3,0.0,0.0,0.0,FAIL,1.0,True,FAILED,
pair_i2,30deg,illumination,64.5,49.5,1%-99% Percentile Stretch,21332,21738,21332,19,5,26.31578947368421,33.3,0.0,0.0,0.0,FAIL,1.0,True,FAILED,
pair_i2,30deg,illumination,64.5,49.5,2%-98% Stretch + CLAHE,20740,21186,20740,25,5,20.0,33.3,0.9945,0.0646,1.5854,FAIL,1.0,True,FAILED,
pair_i2,30deg,illumination,64.5,49.5,1%-99% Stretch + CLAHE,20727,21187,20727,23,5,21.73913043478261,44.4,69.8257,35.18,114.357,FAIL,1.0,True,FAILED,
pair_i3,50deg,illumination,64.5,39.5,2%-98% Percentile Stretch,21416,21191,21416,30,6,20.0,44.4,6.5811,1.4864,12.5087,FAIL,1.0,True,FAILED,
pair_i3,50deg,illumination,64.5,39.5,1%-99% Percentile Stretch,21332,21067,21332,31,6,19.35483870967742,44.4,7.8455,1.2138,15.0604,FAIL,1.0,True,FAILED,
pair_i3,50deg,illumination,64.5,39.5,2%-98% Stretch + CLAHE,20740,20657,20740,36,7,19.444444444444446,44.4,45.896,5.5936,81.9922,FAIL,1.0,True,FAILED,
pair_i3,50deg,illumination,64.5,39.5,1%-99% Stretch + CLAHE,20727,20460,20727,37,5,13.513513513513514,33.3,0.9883,0.078,1.5617,FAIL,1.0,True,FAILED,
pair_i4,70deg,illumination,64.5,29.500000000000004,2%-98% Percentile Stretch,21416,21568,21416,24,5,20.833333333333336,44.4,0.6173,0.2029,1.0125,FAIL,1.0,True,FAILED,
pair_i4,70deg,illumination,64.5,29.500000000000004,1%-99% Percentile Stretch,21332,21467,21332,30,5,16.666666666666664,33.3,10.3028,10.2906,14.1413,FAIL,1.0,True,FAILED,
pair_i4,70deg,illumination,64.5,29.500000000000004,2%-98% Stretch + CLAHE,20740,20989,20740,28,6,21.428571428571427,33.3,18.4695,4.5279,32.16,FAIL,1.0,True,FAILED,
pair_i4,70deg,illumination,64.5,29.500000000000004,1%-99% Stretch + CLAHE,20727,20894,20727,36,6,16.666666666666664,33.3,0.0,0.0,0.0,FAIL,1.0,True,FAILED,
